variante,comparaisons_exclues,absence_piece_identite_neutralisee,nb_comparaisons_presentes,nb_paires_candidates,poids_max_non_vt,poids_min_vt,ecart,vrais_positifs,faux_positifs,faux_negatifs,precision,rappel,f_mesure,grappe_restreint_vraies_retrouvees,grappe_global_vraies_retrouvees,grappe_restreint_sur_fusionnes,grappe_global_sur_fusionnes,f_mesure_max_grille,seuil_f_mesure_max_grille,f_mesure_baseline_collision_exacte,depasse_la_baseline
complet,,False,12,5014,-253.48937940922144,17.379054876553546,270.868434285775,991,0,0,1.0,1.0,1.0,991,24851,0,0,1.0,4.921451568063374e-77,0.9076682316118936,True
A_sans_champs_recopies,"nom_famille_1,nom_famille_2,nom_mere,nom_pere,quartier,ville",False,6,5014,-1.7440061739939265,-4.399411529689467,-2.6554053556955406,990,0,1,1.0,0.9989909182643795,0.999495204442201,990,24850,0,0,0.999495204442201,0.2748808697093449,0.9076682316118936,True
B_absence_piece_identite_neutralisee,,True,12,5014,-226.48237873555476,13.03953947122848,239.52191820678325,991,0,0,1.0,1.0,1.0,991,24851,0,0,1.0,1.0773050885237871e-61,0.9076682316118936,True
C_les_deux_retraits,"nom_famille_1,nom_famille_2,nom_mere,nom_pere,quartier,ville",True,6,5014,0.8224661746876986,-8.749404916365489,-9.571871091053188,989,1,2,0.998989898989899,0.9979818365287588,0.9984856133266027,989,24847,0,2,0.9989909182643795,0.06024115037084595,0.9076682316118936,True
